Expanding: (3, 26) | Remaining rewards: frozenset({(10, 1), (5, 28)})
Moving to (2, 26) | New rewards left: frozenset({(10, 1), (5, 28)})
Moving to (3, 27) | New rewards left: frozenset({(10, 1), (5, 28)})
Expanding: (3, 28) | Remaining rewards: frozenset({(10, 1), (5, 28)})
Moving to (2, 28) | New rewards left: frozenset({(10, 1), (5, 28)})
Moving to (3, 27) | New rewards left: frozenset({(10, 1), (5, 28)})
Expanding: (2, 28) | Remaining rewards: frozenset({(10, 1), (5, 28)})
Moving to (1, 28) | New rewards left: frozenset({(10, 1), (5, 28)})
Moving to (3, 28) | New rewards left: frozenset({(10, 1), (5, 28)})
Moving to (2, 27) | New rewards left: frozenset({(10, 1), (5, 28)})
Expanding: (3, 28) | Remaining rewards: frozenset({(10, 1), (5, 28)})
Expanding: (3, 27) | Remaining rewards: frozenset({(10, 1), (5, 28)})
Expanding: (3, 27) | Remaining rewards: frozenset({(10, 1), (5, 28)})
Expanding: (2, 27) | Remaining rewards: frozenset({(10, 1), (11, 28)})
Moving to (1, 27) | New rewards left: frozenset({(10, 1), (11, 28)})
Moving to (3, 27) | New rewards left: frozenset({(10, 1), (11, 28)})
Moving to (2, 26) | New rewards left: frozenset({(10, 1), (11, 28)})
Moving to (2, 28) | New rewards left: frozenset({(10, 1), (11, 28)})
Expanding: (3, 27) | Remaining rewards: frozenset({(10, 1), (11, 28)})
Expanding: (2, 27) | Remaining rewards: frozenset({(10, 1), (11, 28)})
Expanding: (8, 19) | Remaining rewards: frozenset({(10, 1), (5, 28), (11, 28)})
Expanding: (8, 19) | Remaining rewards: frozenset({(10, 1), (5, 28), (11, 28)})
Expanding: (1, 27) | Remaining rewards: frozenset({(10, 1), (5, 28), (3, 28)})
Moving to (2, 27) | New rewards left: frozenset({(10, 1), (5, 28), (3, 28)})
Moving to (1, 26) | New rewards left: frozenset({(10, 1), (5, 28), (3, 28)})
Moving to (1, 28) | New rewards left: frozenset({(10, 1), (5, 28), (3, 28)})
Expanding: (2, 27) | Remaining rewards: frozenset({(10, 1), (5, 28), (3, 28)})
Expanding: (11, 19) | Remaining rewards: frozenset({(10, 1), (5, 28), (11, 28)})
Moving to (11, 18) | New rewards left: frozenset({(10, 1), (5, 28), (11, 28)})
Moving to (11, 20) | New rewards left: frozenset({(10, 1), (5, 28), (11, 28)})
Expanding: (1, 28) | Remaining rewards: frozenset({(10, 1), (5, 28), (3, 28)})
Moving to (2, 28) | New rewards left: frozenset({(10, 1), (5, 28), (3, 28)})
Moving to (1, 27) | New rewards left: frozenset({(10, 1), (5, 28), (3, 28)})
Expanding: (2, 28) | Remaining rewards: frozenset({(10, 1), (5, 28), (3, 28)})
Expanding: (3, 24) | Remaining rewards: frozenset({(10, 1), (11, 28)})
Moving to (4, 24) | New rewards left: frozenset({(10, 1), (11, 28)})
Moving to (3, 23) | New rewards left: frozenset({(10, 1), (11, 28)})
Expanding: (4, 24) | Remaining rewards: frozenset({(10, 1), (11, 28)})
Expanding: (11, 20) | Remaining rewards: frozenset({(10, 1), (5, 28), (11, 28)})
Expanding: (2, 26) | Remaining rewards: frozenset({(10, 1), (5, 28), (3, 28)})
Expanding: (2, 26) | Remaining rewards: frozenset({(10, 1), (5, 28), (3, 28)})
Expanding: (2, 27) | Remaining rewards: frozenset({(10, 1), (5, 28), (3, 28)})
Expanding: (2, 27) | Remaining rewards: frozenset({(10, 1), (5, 28), (3, 28)})
Expanding: (2, 27) | Remaining rewards: frozenset({(10, 1), (5, 28)})
Moving to (1, 27) | New rewards left: frozenset({(10, 1), (5, 28)})
Moving to (3, 27) | New rewards left: frozenset({(10, 1), (5, 28)})
Moving to (2, 26) | New rewards left: frozenset({(10, 1), (5, 28)})
Moving to (2, 28) | New rewards left: frozenset({(10, 1), (5, 28)})
Expanding: (3, 27) | Remaining rewards: frozenset({(10, 1), (5, 28)})
Expanding: (2, 27) | Remaining rewards: frozenset({(10, 1), (5, 28)})
Expanding: (11, 18) | Remaining rewards: frozenset({(10, 1), (3, 28)})
Moving to (11, 17) | New rewards left: frozenset({(10, 1), (3, 28)})
Moving to (11, 19) | New rewards left: frozenset({(10, 1), (3, 28)})
Expanding: (11, 20) | Remaining rewards: frozenset({(10, 1), (3, 28)})
Expanding: (11, 20) | Remaining rewards: frozenset({(10, 1), (3, 28)})
Expanding: (8, 19) | Remaining rewards: frozenset({(10, 1), (3, 28)})
Moving to (9, 19) | New rewards left: frozenset({(10, 1), (3, 28)})
Moving to (8, 18) | New rewards left: frozenset({(10, 1), (3, 28)})
Moving to (8, 20) | New rewards left: frozenset({(10, 1), (3, 28)})
Expanding: (8, 19) | Remaining rewards: frozenset({(10, 1), (3, 28)})
Expanding: (8, 21) | Remaining rewards: frozenset({(10, 1), (3, 28)})
Expanding: (9, 20) | Remaining rewards: frozenset({(10, 1), (3, 28)})
Expanding: (9, 20) | Remaining rewards: frozenset({(10, 1), (3, 28)})
Expanding: (11, 20) | Remaining rewards: frozenset({(10, 1), (5, 28)})
Moving to (10, 20) | New rewards left: frozenset({(10, 1), (5, 28)})
Moving to (11, 19) | New rewards left: frozenset({(10, 1), (5, 28)})
Moving to (11, 21) | New rewards left: frozenset({(10, 1), (5, 28)})
Expanding: (10, 20) | Remaining rewards: frozenset({(10, 1), (5, 28)})
Moving to (9, 20) | New rewards left: frozenset({(10, 1), (5, 28)})
Moving to (11, 20) | New rewards left: frozenset({(10, 1), (5, 28)})
Expanding: (11, 22) | Remaining rewards: frozenset({(10, 1), (5, 28)})
Expanding: (6, 23) | Remaining rewards: frozenset({(10, 1), (5, 28)})
